,$,kw_program,id,kw_begin,kw_end,kw_semicolumn,kw_var,kw_column,op_assign,kw_procedure,open_paren,close_paren,kw_comma,kw_in,kw_struct,open_curly,close_curly,kw_new,op_or,op_and,op_smaller,op_smaller_or_eq,op_greater,op_greater_or_eq,op_equal,op_not_equal,op_add,op_sub,op_mult,op_div,op_exp,op_not,kw_ref,kw_deref,kw_dot,float_literal,int_literal,string_literal,kw_null,kw_false,kw_true,kw_if,kw_then,kw_fi,kw_else,kw_while,kw_do,kw_od,kw_return,kw_exit,kw_when,kw_float,kw_int,kw_string,kw_bool
T_REC_DECL,,,T_REC_DECL ::= PARAMFIELD_DECL U_REC_DECL,,,,,,,,,,,,,,T_REC_DECL ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_REC_DECL,,,,,,U_REC_DECL ::= kw_semicolumn PARAMFIELD_DECL U_REC_DECL,,,,,,,,,,,U_REC_DECL ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARAMFIELD_DECL,,,PARAMFIELD_DECL ::= id kw_column TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STMT_LIST,,,STMT_LIST ::= STMT T_STMT_LIST,,STMT_LIST ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STMT_LIST ::= STMT T_STMT_LIST,,,,,,,,STMT_LIST ::= STMT T_STMT_LIST,,STMT_LIST ::= ε,STMT_LIST ::= ε,STMT_LIST ::= STMT T_STMT_LIST,STMT_LIST ::= STMT T_STMT_LIST,STMT_LIST ::= ε,STMT_LIST ::= STMT T_STMT_LIST,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_STMT_LIST,,,,,T_STMT_LIST ::= ε,T_STMT_LIST ::= kw_semicolumn STMT_LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T_STMT_LIST ::= ε,T_STMT_LIST ::= ε,,,T_STMT_LIST ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPT_EXP,,,OPT_EXP ::= EXP,,OPT_EXP ::= ε,OPT_EXP ::= ε,,,,,OPT_EXP ::= EXP,OPT_EXP ::= ε,OPT_EXP ::= ε,OPT_EXP ::= ε,,,,OPT_EXP ::= EXP,,,,,,,,,,,,,,OPT_EXP ::= EXP,OPT_EXP ::= EXP,OPT_EXP ::= EXP,,OPT_EXP ::= EXP,OPT_EXP ::= EXP,OPT_EXP ::= EXP,OPT_EXP ::= EXP,OPT_EXP ::= EXP,OPT_EXP ::= EXP,,OPT_EXP ::= ε,OPT_EXP ::= ε,OPT_EXP ::= ε,,OPT_EXP ::= ε,OPT_EXP ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXP,,,EXP ::= L_EXP OPT_EXP,,,,,,,,EXP ::= L_EXP OPT_EXP,,,,,,,EXP ::= kw_new id,,,,,,,,,,,,,,EXP ::= L_EXP OPT_EXP,EXP ::= REF_VAR,EXP ::= L_EXP OPT_EXP,,EXP ::= L_EXP OPT_EXP,EXP ::= L_EXP OPT_EXP,EXP ::= L_EXP OPT_EXP,EXP ::= L_EXP OPT_EXP,EXP ::= L_EXP OPT_EXP,EXP ::= L_EXP OPT_EXP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L_EXP,,,L_EXP ::= LU_EXP L2_EXP,,,,,,,,L_EXP ::= LU_EXP L2_EXP,,,,,,,,,,,,,,,,,,,,,L_EXP ::= LU_EXP L2_EXP,,L_EXP ::= LU_EXP L2_EXP,,L_EXP ::= LU_EXP L2_EXP,L_EXP ::= LU_EXP L2_EXP,L_EXP ::= LU_EXP L2_EXP,L_EXP ::= LU_EXP L2_EXP,L_EXP ::= LU_EXP L2_EXP,L_EXP ::= LU_EXP L2_EXP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2_EXP,,,L2_EXP ::= ε,,L2_EXP ::= ε,L2_EXP ::= ε,,,,,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,,,,L2_EXP ::= ε,L2_EXP ::= op_or LU_EXP L2_EXP,,,,,,,,,,,,,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,,L2_EXP ::= ε,L2_EXP ::= ε,L2_EXP ::= ε,,L2_EXP ::= ε,L2_EXP ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LU_EXP,,,LU_EXP ::= R_EXP LU2_EXP,,,,,,,,LU_EXP ::= R_EXP LU2_EXP,,,,,,,,,,,,,,,,,,,,,LU_EXP ::= R_EXP LU2_EXP,,LU_EXP ::= R_EXP LU2_EXP,,LU_EXP ::= R_EXP LU2_EXP,LU_EXP ::= R_EXP LU2_EXP,LU_EXP ::= R_EXP LU2_EXP,LU_EXP ::= R_EXP LU2_EXP,LU_EXP ::= R_EXP LU2_EXP,LU_EXP ::= R_EXP LU2_EXP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LU2_EXP,,,LU2_EXP ::= ε,,LU2_EXP ::= ε,LU2_EXP ::= ε,,,,,LU2_EXP ::= ε,LU2_EXP ::= ε,LU2_EXP ::= ε,LU2_EXP ::= ε,,,,LU2_EXP ::= ε,LU2_EXP ::= ε,LU2_EXP ::= op_and R_EXP LU2_EXP,,,,,,,,,,,,LU2_EXP ::= ε,LU2_EXP ::= ε,LU2_EXP ::= ε,,LU2_EXP ::= ε,LU2_EXP ::= ε,LU2_EXP ::= ε,LU2_EXP ::= ε,LU2_EXP ::= ε,LU2_EXP ::= ε,,LU2_EXP ::= ε,LU2_EXP ::= ε,LU2_EXP ::= ε,,LU2_EXP ::= ε,LU2_EXP ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_EXP,,,R_EXP ::= A_EXP R2_EXP,,,,,,,,R_EXP ::= A_EXP R2_EXP,,,,,,,,,,,,,,,,,,,,,R_EXP ::= A_EXP R2_EXP,,R_EXP ::= A_EXP R2_EXP,,R_EXP ::= A_EXP R2_EXP,R_EXP ::= A_EXP R2_EXP,R_EXP ::= A_EXP R2_EXP,R_EXP ::= A_EXP R2_EXP,R_EXP ::= A_EXP R2_EXP,R_EXP ::= A_EXP R2_EXP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R2_EXP,,,R2_EXP ::= ε,,R2_EXP ::= ε,R2_EXP ::= ε,,,,,R2_EXP ::= ε,R2_EXP ::= ε,R2_EXP ::= ε,R2_EXP ::= ε,,,,R2_EXP ::= ε,R2_EXP ::= ε,R2_EXP ::= ε,R2_EXP ::= op_smaller A_EXP R2_EXP,R2_EXP ::= op_smaller_or_eq A_EXP R2_EXP,R2_EXP ::= op_greater A_EXP R2_EXP,R2_EXP ::= op_greater_or_eq A_EXP R2_EXP,R2_EXP ::= op_equal A_EXP R2_EXP,R2_EXP ::= op_not_equal A_EXP R2_EXP,,,,,,R2_EXP ::= ε,R2_EXP ::= ε,R2_EXP ::= ε,,R2_EXP ::= ε,R2_EXP ::= ε,R2_EXP ::= ε,R2_EXP ::= ε,R2_EXP ::= ε,R2_EXP ::= ε,,R2_EXP ::= ε,R2_EXP ::= ε,R2_EXP ::= ε,,R2_EXP ::= ε,R2_EXP ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_EXP,,,A_EXP ::= AU_EXP A2_EXP,,,,,,,,A_EXP ::= AU_EXP A2_EXP,,,,,,,,,,,,,,,,,,,,,A_EXP ::= AU_EXP A2_EXP,,A_EXP ::= AU_EXP A2_EXP,,A_EXP ::= AU_EXP A2_EXP,A_EXP ::= AU_EXP A2_EXP,A_EXP ::= AU_EXP A2_EXP,A_EXP ::= AU_EXP A2_EXP,A_EXP ::= AU_EXP A2_EXP,A_EXP ::= AU_EXP A2_EXP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2_EXP,,,A2_EXP ::= ε,,A2_EXP ::= ε,A2_EXP ::= ε,,,,,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,,,,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= op_add AU_EXP A2_EXP,A2_EXP ::= op_sub AU_EXP A2_EXP,,,,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,,A2_EXP ::= ε,A2_EXP ::= ε,A2_EXP ::= ε,,A2_EXP ::= ε,A2_EXP ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU_EXP,,,AU_EXP ::= POW_EXP AU2_EXP,,,,,,,,AU_EXP ::= POW_EXP AU2_EXP,,,,,,,,,,,,,,,,,,,,,AU_EXP ::= POW_EXP AU2_EXP,,AU_EXP ::= POW_EXP AU2_EXP,,AU_EXP ::= POW_EXP AU2_EXP,AU_EXP ::= POW_EXP AU2_EXP,AU_EXP ::= POW_EXP AU2_EXP,AU_EXP ::= POW_EXP AU2_EXP,AU_EXP ::= POW_EXP AU2_EXP,AU_EXP ::= POW_EXP AU2_EXP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU2_EXP,,,AU2_EXP ::= ε,,AU2_EXP ::= ε,AU2_EXP ::= ε,,,,,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,,,,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= op_mult POW_EXP AU2_EXP,AU2_EXP ::= op_div POW_EXP AU2_EXP,,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,,AU2_EXP ::= ε,AU2_EXP ::= ε,AU2_EXP ::= ε,,AU2_EXP ::= ε,AU2_EXP ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POW_EXP,,,POW_EXP ::= FIM_EXP POW_EXP2,,,,,,,,POW_EXP ::= FIM_EXP POW_EXP2,,,,,,,,,,,,,,,,,,,,,POW_EXP ::= FIM_EXP POW_EXP2,,POW_EXP ::= FIM_EXP POW_EXP2,,POW_EXP ::= FIM_EXP POW_EXP2,POW_EXP ::= FIM_EXP POW_EXP2,POW_EXP ::= FIM_EXP POW_EXP2,POW_EXP ::= FIM_EXP POW_EXP2,POW_EXP ::= FIM_EXP POW_EXP2,POW_EXP ::= FIM_EXP POW_EXP2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POW_EXP2,,,POW_EXP2 ::= ε,,POW_EXP2 ::= ε,POW_EXP2 ::= ε,,,,,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,,,,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= op_exp POW_EXP,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,,POW_EXP2 ::= ε,POW_EXP2 ::= ε,POW_EXP2 ::= ε,,POW_EXP2 ::= ε,POW_EXP2 ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIM_EXP,,,FIM_EXP ::= id OPT_DOT_NAME,,,,,,,,FIM_EXP ::= open_paren EXP close_paren,,,,,,,,,,,,,,,,,,,,,FIM_EXP ::= op_not FIM_EXP,,FIM_EXP ::= DEREF_VAR OPT_DOT_NAME,,FIM_EXP ::= LITERAL,FIM_EXP ::= LITERAL,FIM_EXP ::= LITERAL,FIM_EXP ::= LITERAL,FIM_EXP ::= LITERAL,FIM_EXP ::= LITERAL,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REF_VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REF_VAR ::= kw_ref open_paren VAR close_paren,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEREF_VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEREF_VAR ::= kw_deref open_paren VAR close_paren,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAR,,,VAR ::= id NAME_VAR,,,,,,,,VAR ::= open_paren REC_VAR close_paren,,,,,,,,,,,,,,,,,,,,,,,VAR ::= NAMELESS_VAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REC_VAR,,,REC_VAR ::= CALL_STMT kw_dot id,,,,,,,,REC_VAR ::= open_paren REC_VAR close_paren,,,,,,,,,,,,,,,,,,,,,,,REC_VAR ::= DEREF_VAR kw_dot id,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME_VAR,,,,,,,,,NAME_VAR ::= ε,,NAME_VAR ::= NAME_CALL_STMT kw_dot id,NAME_VAR ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMELESS_VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMELESS_VAR ::= DEREF_VAR kw_dot id,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMELESS_DEREF_VAR_VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMELESS_DEREF_VAR_VAR ::= kw_dot id,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO_PAREN_VAR,,,NO_PAREN_VAR ::= id NAME_VAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_PAREN_VAR ::= NAMELESS_VAR,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LITERAL ::= float_literal,LITERAL ::= int_literal,LITERAL ::= string_literal,LITERAL ::= kw_null,LITERAL ::= BOOL_LITERAL,LITERAL ::= BOOL_LITERAL,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOL_LITERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOOL_LITERAL ::= kw_false,BOOL_LITERAL ::= kw_true,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STMT,,,STMT ::= id NAME_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STMT ::= NAMELESS_ASSIGN_STMT,,,,,,,,STMT ::= IF_STMT,,,,STMT ::= WHILE_STMT,STMT ::= DO_STMT,,STMT ::= RETURN_STMT,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME_STMT,,,,,,,,,NAME_STMT ::= op_assign EXP,,NAME_STMT ::= NAME_CALL_STMT OPT_DOT_NAME_ASSIGN_EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPT_DOT_NAME_ASSIGN_EXP,,,,,OPT_DOT_NAME_ASSIGN_EXP ::= ε,OPT_DOT_NAME_ASSIGN_EXP ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPT_DOT_NAME_ASSIGN_EXP ::= kw_dot id op_assign EXP,,,,,,,,,OPT_DOT_NAME_ASSIGN_EXP ::= ε,OPT_DOT_NAME_ASSIGN_EXP ::= ε,,,OPT_DOT_NAME_ASSIGN_EXP ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSIGN_STMT,,,ASSIGN_STMT ::= id NAME_ASSIGN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGN_STMT ::= NAMELESS_ASSIGN_STMT,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME_ASSIGN_STMT,,,,,,,,,NAME_ASSIGN_STMT ::= NAME_VAR op_assign EXP,,NAME_ASSIGN_STMT ::= NAME_VAR op_assign EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAMELESS_ASSIGN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAMELESS_ASSIGN_STMT ::= DEREF_VAR OPT_DOT_NAME op_assign EXP,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPT_DOT_NAME,,,OPT_DOT_NAME ::= ε,,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,,,OPT_DOT_NAME ::= ε,,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,,,,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= kw_dot id,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,,OPT_DOT_NAME ::= ε,OPT_DOT_NAME ::= ε,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
