,$,kw_program,id,kw_begin,kw_end,kw_semicolumn,kw_var,kw_column,op_assign,kw_procedure,open_paren,close_paren,kw_comma,kw_in,kw_struct,open_curly,close_curly,kw_new,op_or,op_and,op_smaller,op_smaller_or_eq,op_greater,op_greater_or_eq,op_equal,op_not_equal,op_add,op_sub,op_mult,op_div,op_exp,op_not,kw_ref,kw_deref,kw_dot,float_literal,int_literal,string_literal,kw_null,kw_false,kw_true,kw_if,kw_then,kw_fi,kw_else,kw_while,kw_do,kw_od,kw_return,kw_exit,kw_when,kw_float,kw_int,kw_string,kw_bool
IF_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IF_STMT ::= kw_if EXP kw_then STMT_LIST T_IF_STMT kw_fi,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_IF_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T_IF_STMT ::= ε,T_IF_STMT ::= kw_else STMT_LIST,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WHILE_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WHILE_STMT ::= kw_while EXP kw_do STMT_LIST kw_od,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RETURN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RETURN_STMT ::= kw_return EXP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALL_STMT,,,CALL_STMT ::= id NAME_CALL_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME_CALL_STMT,,,,,,,,,,,NAME_CALL_STMT ::= open_paren T_CALL_STMT close_paren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_CALL_STMT,,,T_CALL_STMT ::= EXP U_CALL_STMT,,,,,,,,T_CALL_STMT ::= EXP U_CALL_STMT,T_CALL_STMT ::= ε,,,,,,T_CALL_STMT ::= EXP U_CALL_STMT,,,,,,,,,,,,,,T_CALL_STMT ::= EXP U_CALL_STMT,T_CALL_STMT ::= EXP U_CALL_STMT,T_CALL_STMT ::= EXP U_CALL_STMT,,T_CALL_STMT ::= EXP U_CALL_STMT,T_CALL_STMT ::= EXP U_CALL_STMT,T_CALL_STMT ::= EXP U_CALL_STMT,T_CALL_STMT ::= EXP U_CALL_STMT,T_CALL_STMT ::= EXP U_CALL_STMT,T_CALL_STMT ::= EXP U_CALL_STMT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U_CALL_STMT,,,,,,,,,,,,U_CALL_STMT ::= ε,U_CALL_STMT ::= kw_comma EXP U_CALL_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO_STMT ::= kw_do DO_STMT_LIST kw_od,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO_STMT_LIST,,,DO_STMT_LIST ::= id NAME_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO_STMT_LIST ::= NAMELESS_ASSIGN_STMT,,,,,,,,DO_STMT_LIST ::= IF_STMT,,,,,DO_STMT_LIST ::= DO_STMT,DO_STMT_LIST ::= ε,DO_STMT_LIST ::= RETURN_STMT,DO_STMT_LIST ::= kw_exit kw_when EXP,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYPE,,,TYPE ::= id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TYPE ::= kw_ref open_paren TYPE close_paren,,,,,,,,,,,,,,,,,,,TYPE ::= kw_float,TYPE ::= kw_int,TYPE ::= kw_string,TYPE ::= kw_bool
